,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
0,1,Walmart,"2,200,000",-,"$523,964 ",1.90%,"$14,881.00 ",123.10%,"$236,495 ","$321,803 ",Retailing,General Merchandisers,Bentonville,AR,36.372853799999994,-94.2088172
1,2,Amazon.com,"798,000",3,"$280,522 ",20.50%,"$11,588.00 ",15.00%,"$225,248 ","$970,680 ",Retailing,Internet Services and Retailing,Seattle,WA,47.6062095,-122.33207079999998
2,3,Exxon Mobil,"74,900",-1,"$264,938 ",-8.70%,"$14,340.00 ",-31.20%,"$362,597 ","$160,696 ",Energy,Petroleum Refining,Irving,TX,32.814017699999994,-96.9488945
3,4,Apple,"137,000",-1,"$260,174 ",-2.00%,"$55,256.00 ",-7.20%,"$338,516 ","$1,112,641 ",Technology,"Computers, Office Equipment",Cupertino,CA,37.322997799999996,-122.03218229999999
4,5,CVS Health,"290,000",3,"$256,776 ",32.00%,"$6,634.00 ",-,"$222,449 ","$77,376 ",Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,42.0028761,-71.5147839
5,6,Berkshire Hathaway,"391,500",-2,"$254,616 ",2.70%,"$81,417.00 ",1924.80%,"$817,729 ","$442,897 ",Financials,Insurance: Property and Casualty (Stock),Omaha,NE,41.2565369,-95.93450340000001
6,7,UnitedHealth Group,"325,000",-1,"$242,155 ",7.00%,"$13,839.00 ",15.50%,"$173,889 ","$236,555 ",Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN,44.9211836,-93.46874890000001
7,8,McKesson,"70,000",-1,"$214,319 ",2.90%,$34.00 ,-49.30%,"$59,672 ","$21,845 ",Wholesalers,Wholesalers: Health Care,SF,CA,37.7749295,-122.4194155
8,9,AT&T,"247,800",-,"$181,193 ",6.10%,"$13,903.00 ",-28.20%,"$551,669 ","$209,388 ",Telecommunications,Telecommunications,Dallas,TX,32.7766642,-96.7969879
9,10,AmerisourceBergen,"21,500",-,"$179,589 ",6.90%,$855.40 ,-48.40%,"$39,172 ","$18,221 ",Wholesalers,Wholesalers: Health Care,Chesterbrook,PA,40.0756627,-75.4590816
10,11,Alphabet,"118,899",4,"$161,857 ",18.30%,"$34,343.00 ",11.70%,"$275,909 ","$798,905 ",Technology,Internet Services and Retailing,Mountain View,CA,37.3860517,-122.08385109999999
11,12,Ford Motor,"190,000",-,"$155,900 ",-2.80%,$47.00 ,-98.70%,"$258,537 ","$19,151 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Dearborn,MI,42.3222599,-83.1763145
12,13,Cigna,"73,700",52,"$153,566 ",215.70%,"$5,104.00 ",93.60%,"$155,774 ","$65,897 ",Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT,41.826488,-72.73009449999999
13,14,Costco Wholesale,"201,500",-,"$152,703 ",7.90%,"$3,659.00 ",16.80%,"$45,400 ","$125,908 ",,,,,,
14,15,Chevron,"48,200",-4,"$146,516 ",-11.90%,"$2,924.00 ",-80.30%,"$237,428 ","$136,176 ",Energy,Petroleum Refining,San Ramon,CA,37.7799273,-121.9780153
15,16,Cardinal Health,"49,500",-,"$145,534 ",6.40%,"$1,363.00 ",432.40%,"$40,963 ","$13,988 ",Wholesalers,Wholesalers: Health Care,Dublin,OH,40.0992294,-83.11407709999999
16,17,JPMorgan Chase,"256,981",1,"$142,422 ",8.40%,"$36,431.00 ",12.20%,"$2,687,379 ","$276,750 ",Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
17,18,General Motors,"164,000",-5,"$137,237 ",-6.70%,"$6,732.00 ",-16.00%,"$228,037 ","$29,695 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,42.331427000000005,-83.0457538
18,19,Walgreens Boots Alliance,"287,000",-2,"$136,866 ",4.10%,"$3,982.00 ",-20.70%,"$67,598 ","$40,528 ",Food &  Drug Stores,Food and Drug Stores,Deerfield,IL,42.171136499999996,-87.8445119
19,20,Verizon Communications,"135,000",-1,"$131,868 ",0.80%,"$19,265.00 ",24.10%,"$291,727 ","$222,220 ",,,,,,
20,21,Microsoft,"144,000",5,"$125,843 ",14.00%,"$39,240.00 ",136.80%,"$286,556 ","$1,199,550 ",Technology,Computer Software,Redmond,WA,47.6739881,-122.12151200000001
21,22,Marathon Petroleum,"60,910",9,"$124,813 ",28.50%,"$2,637.00 ",-5.10%,"$98,556 ","$15,353 ",Energy,Petroleum Refining,Findlay,OH,41.04422,-83.6499321
22,23,Kroger,"435,000",-3,"$122,286 ",0.90%,"$1,659.00 ",-46.70%,"$45,256 ","$24,114 ",Food &  Drug Stores,Food and Drug Stores,Cincinnati,OH,39.103118200000004,-84.5120196
23,24,Fannie Mae,"7,500",-2,"$120,304 ",0.20%,"$14,160.00 ",-11.30%,"$3,503,319 ","$1,841 ",Financials,Diversified Financials,Leavenworth,WA,47.751074100000004,-120.7401385
24,25,Bank of America,"208,131",-,"$113,589 ",2.70%,"$27,430.00 ",-2.50%,"$2,434,079 ","$185,227 ",,,,,,
25,26,Home Depot,"415,700",1,"$110,225 ",1.90%,"$11,242.00 ",1.10%,"$51,236 ","$200,665 ",Retailing,Specialty Retailers: Other,Atlanta,GA,33.7489954,-84.3879824
26,27,Phillips 66,"14,500",-4,"$109,559 ",-4.10%,"$3,076.00 ",-45.00%,"$58,720 ","$23,490 ",Energy,Petroleum Refining,Houston,TX,29.7604267,-95.36980279999999
27,28,Comcast,"190,000",4,"$108,942 ",15.30%,"$13,057.00 ",11.30%,"$263,414 ","$156,533 ",Telecommunications,Telecommunications,Philadelphia,PA,39.9525839,-75.1652215
28,29,Anthem,"70,600",4,"$104,213 ",13.10%,"$4,807.00 ",28.20%,"$77,453 ","$57,245 ",Health Care,Health Care: Insurance and Managed Care,Indianapolis,IN,39.768403,-86.158068
29,30,Wells Fargo,"259,800",-1,"$103,915 ",2.80%,"$19,549.00 ",-12.70%,"$1,927,555 ","$117,366 ",Financials,Commercial Banks,SF,CA,37.7749295,-122.4194155
30,31,Citigroup,"200,000",-1,"$103,449 ",6.50%,"$19,401.00 ",7.50%,"$1,951,158 ","$88,377 ",Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
31,32,Valero Energy,"10,222",-8,"$102,729 ",-7.80%,"$2,422.00 ",-22.40%,"$53,864 ","$18,532 ",Energy,Petroleum Refining,San Antonio,TX,29.4241219,-98.4936282
32,33,General Electric,"205,000",-12,"$95,214 ",-20.80%,"($4,979.00)",-,"$266,048 ","$69,406 ",Industrials,Industrial Machinery,Boston,MA,42.360082500000004,-71.0588801
33,34,Dell Technologies,"165,000",-,"$92,154 ",1.70%,"$4,616.00 ",-,"$118,861 ","$29,246 ",Technology,"Computers, Office Equipment",Round Rock,TX,30.508255100000003,-97.678896
34,35,Johnson & Johnson,"132,200",2,"$82,059 ",0.60%,"$15,119.00 ",-1.20%,"$157,728 ","$345,705 ",Health Care,Pharmaceuticals,New Brunswick,NJ,40.4862157,-74.4518188
35,36,State Farm Insurance,"57,672",-,"$79,395 ",-2.90%,"$5,592.70 ",-36.40%,"$294,823 ",-,,,,,,
36,37,Target,"368,000",2,"$78,112 ",3.70%,"$3,281.00 ",11.70%,"$42,779 ","$46,574 ",Retailing,General Merchandisers,Minneapolis,MN,44.977753,-93.2650108
37,38,IBM,"383,800",-,"$77,147 ",-3.10%,"$9,431.00 ",8.10%,"$152,186 ","$98,551 ",Technology,Information Technology Services,Armonk,NY,41.1264849,-73.71401949999999
38,39,Raytheon Technologies,"243,200",7,"$77,046 ",15.90%,"$5,537.00 ",5.10%,"$139,716 ","$81,705 ",,,,,,
39,40,Boeing,"161,100",-12,"$76,559 ",-24.30%,($636.00),-106.10%,"$133,625 ","$84,149 ",Aerospace &  Defense,Aerospace and Defense,Chicago,IL,41.8781136,-87.62979820000001
40,41,Freddie Mac,"6,892",-1,"$75,125 ",2.10%,"$7,214.00 ",-21.90%,"$2,203,623 ",$909 ,Financials,Diversified Financials,McLean,VA,38.933867600000006,-77.17726040000001
41,42,Centene,"56,600",9,"$74,639 ",24.20%,"$1,321.00 ",46.80%,"$40,994 ","$34,862 ",Health Care,Health Care: Insurance and Managed Care,St. Louis,MO,38.6270025,-90.1994042
42,43,United Parcel Service,"377,640",-2,"$74,094 ",3.10%,"$4,440.00 ",-7.30%,"$57,857 ","$80,196 ",,,,,,
43,44,Lowe's,"260,000",-2,"$72,148 ",1.20%,"$4,281.00 ",85.00%,"$39,471 ","$64,963 ",,,,,,
44,45,Intel,"110,800",-2,"$71,965 ",1.60%,"$21,048.00 ",-,"$136,524 ","$231,662 ",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,37.354107899999995,-121.9552356
45,46,Facebook,"44,942",11,"$70,697 ",26.60%,"$18,485.00 ",-16.40%,"$133,376 ","$475,455 ",Technology,Internet Services and Retailing,Menlo Park,CA,37.4529598,-122.1817252
46,47,FedEx,"389,500",-,"$69,693 ",6.50%,$540.00 ,-88.20%,"$54,403 ","$31,679 ",Transportation,"Mail, Package, and Freight Delivery",Memphis,TN,35.1495343,-90.0489801
47,48,MetLife,"49,000",-4,"$69,620 ",2.50%,"$5,899.00 ",15.10%,"$740,463 ","$27,997 ",Financials,"Insurance: Life, Health (stock)",New York,NY,40.7127753,-74.0059728
48,49,Walt Disney,"223,000",4,"$69,570 ",17.10%,"$11,054.00 ",-12.30%,"$193,984 ","$174,405 ",,,,,,
49,50,Procter & Gamble,"97,000",-5,"$67,684 ",1.30%,"$3,897.00 ",-60.00%,"$115,095 ","$271,640 ",Household Products,Household and Personal Products,Cincinnati,OH,39.103118200000004,-84.5120196
50,51,PepsiCo,"267,000",-3,"$67,161 ",3.90%,"$7,314.00 ",-41.60%,"$78,547 ","$166,848 ","Food, Beverages &  Tobacco",Food Consumer Products,Harrison,NY,41.0400135,-73.71444770000001
51,52,Humana,"46,000",4,"$64,888 ",14.00%,"$2,707.00 ",60.80%,"$29,074 ","$41,490 ",Health Care,Health Care: Insurance and Managed Care,Louisville,KY,38.252664700000004,-85.7584557
52,53,Prudential Financial,"51,511",-3,"$64,807 ",2.90%,"$4,186.00 ",2.70%,"$896,552 ","$20,650 ",Financials,"Insurance: Life, Health (stock)",Newark,NJ,40.735657,-74.1723667
53,54,Archer Daniels Midland,"38,100",-5,"$64,656 ",0.50%,"$1,379.00 ",-23.80%,"$43,997 ","$19,603 ","Food, Beverages &  Tobacco",Food Production,Chicago,IL,41.8781136,-87.62979820000001
54,55,Albertsons,"267,000",-3,"$60,535 ",1.00%,$131.10 ,183.20%,"$20,777 ",-,,,,,,
55,56,Sysco,"69,000",-2,"$60,114 ",2.40%,"$1,674.30 ",17.00%,"$17,967 ","$23,203 ",Wholesalers,Wholesalers: Food and Grocery,Houston,TX,29.7604267,-95.36980279999999
56,57,Lockheed Martin,"110,000",3,"$59,812 ",11.30%,"$6,230.00 ",23.50%,"$47,528 ","$95,539 ",Aerospace &  Defense,Aerospace and Defense,Bethesda,MD,38.984652000000004,-77.09470920000001
57,58,HP,"56,000",-3,"$58,756 ",0.50%,"$3,152.00 ",-40.80%,"$33,467 ","$24,821 ",Technology,"Computers, Office Equipment",Palo Alto,CA,37.441883399999995,-122.14301950000001
58,59,Energy Transfer,"12,812",-,"$54,213 ",-0.40%,"$3,592.00 ",112.00%,"$98,880 ","$12,374 ",,,,,,
59,60,Goldman Sachs Group,"38,300",2,"$53,922 ",2.70%,"$8,466.00 ",-19.10%,"$992,968 ","$55,417 ",Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
60,61,Morgan Stanley,"60,431",2,"$53,823 ",7.20%,"$9,042.00 ",3.40%,"$895,429 ","$52,102 ",Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
61,62,Caterpillar,"102,300",-4,"$53,800 ",-1.70%,"$6,093.00 ",-0.90%,"$78,453 ","$63,832 ",Industrials,Construction and Farm Machinery,Deerfield,IL,42.171136499999996,-87.8445119
62,63,Cisco Systems,"75,900",1,"$51,904 ",5.20%,"$11,621.00 ",10464.50%,"$97,793 ","$166,709 ",Technology,Network and Other Communications Equipment,San Jose,CA,37.338208200000004,-121.88632859999998
63,64,Pfizer,"88,300",-3,"$51,750 ",-3.50%,"$16,273.00 ",45.90%,"$167,489 ","$181,075 ",Health Care,Pharmaceuticals,New York,NY,40.7127753,-74.0059728
64,65,HCA Healthcare,"245,000",2,"$51,336 ",10.00%,"$3,505.00 ",-7.40%,"$45,058 ","$30,411 ",Health Care,Health Care: Medical Facilities,Nashville,TN,36.1626638,-86.78160159999999
65,66,AIG,"46,000",-,"$49,746 ",5.00%,"$3,348.00 ",-,"$525,064 ","$20,886 ",Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
66,67,American Express,"64,500",5,"$47,020 ",8.60%,"$6,759.00 ",-2.30%,"$198,321 ","$68,983 ",Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
67,68,Delta Air Lines,"91,224",1,"$47,007 ",5.80%,"$4,767.00 ",21.10%,"$64,532 ","$18,262 ",Transportation,Airlines,Atlanta,GA,33.7489954,-84.3879824
68,69,Merck,"71,000",7,"$46,840 ",10.70%,"$9,843.00 ",58.20%,"$84,397 ","$195,141 ",Health Care,Pharmaceuticals,Kenilworth,NJ,40.6764911,-74.2907032
69,70,American Airlines Group,"133,700",-2,"$45,768 ",2.80%,"$1,686.00 ",19.40%,"$59,995 ","$5,194 ",Transportation,Airlines,Fort Worth,TX,32.7554883,-97.3307658
70,71,Charter Communications,"95,100",-1,"$45,764 ",4.90%,"$1,668.00 ",35.60%,"$148,188 ","$111,924 ",Telecommunications,Telecommunications,Stamford,CT,41.0534302,-73.53873409999999
71,72,Allstate,"46,035",10,"$44,675 ",12.20%,"$4,847.00 ",115.20%,"$119,950 ","$29,071 ",Financials,Insurance: Property and Casualty (Stock),Northbrook,IL,42.127526700000004,-87.82895479999999
72,73,New York Life Insurance,"11,519",-2,"$44,117 ",1.60%,"$1,003.80 ",14.10%,"$330,806 ",-,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40.7127753,-74.0059728
73,74,Nationwide,"28,114",-1,"$43,982 ",1.60%,$829.70 ,61.90%,"$239,540 ",-,Financials,Insurance: Property and Casualty (Mutual),Columbus,OH,39.9611755,-82.9987942
74,75,Best Buy,"125,000",-1,"$43,638 ",1.80%,"$1,541.00 ",5.30%,"$15,591 ","$14,647 ",Retailing,Specialty Retailers: Other,Richfield,MN,44.8832982,-93.28300209999999
75,76,United Airlines Holdings,"96,000",2,"$43,259 ",4.70%,"$3,009.00 ",41.30%,"$52,611 ","$7,823 ",,,,,,
76,77,Liberty Mutual Insurance Group,"45,000",-2,"$43,228 ",1.30%,"$1,044.00 ",-51.70%,"$133,644 ",-,Financials,Insurance: Property and Casualty (Stock),Boston,MA,42.360082500000004,-71.0588801
77,78,Dow,"36,500",-,"$42,951 ",-,"($1,359.00)",-,"$60,524 ","$21,716 ",,,,,,
78,79,Tyson Foods,"141,000",1,"$42,405 ",5.90%,"$2,022.00 ",-33.10%,"$33,097 ","$21,125 ","Food, Beverages &  Tobacco",Food Production,Springdale,AR,36.18674420000001,-94.1288141
79,80,TJX,"286,000",5,"$41,717 ",7.00%,"$3,272.20 ",6.90%,"$24,145 ","$57,262 ",Retailing,Specialty Retailers: Apparel,Framingham,MA,42.279286,-71.4161565
80,81,TIAA,"16,533",-2,"$40,454 ",-1.50%,"$2,460.10 ",57.60%,"$615,042 ",-,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40.7127753,-74.0059728
81,82,Oracle,"136,000",-1,"$39,506 ",-0.80%,"$11,083.00 ",189.80%,"$108,709 ","$152,413 ",Technology,Computer Software,Redwood City,CA,37.4852152,-122.2363548
82,83,General Dynamics,"102,900",9,"$39,350 ",8.70%,"$3,484.00 ",4.20%,"$48,841 ","$38,398 ",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,38.882334,-77.17109140000001
83,84,Deere,"73,489",3,"$39,258 ",5.10%,"$3,253.00 ",37.40%,"$73,011 ","$43,330 ",Industrials,Construction and Farm Machinery,Moline,IL,41.5067003,-90.5151342
84,85,Nike,"76,700",5,"$39,117 ",7.50%,"$4,029.00 ",108.40%,"$23,717 ","$128,857 ",Apparel,Apparel,Beaverton,OR,45.4887993,-122.80133319999999
85,86,Progressive,"41,571",13,"$39,022 ",22.00%,"$3,970.30 ",51.80%,"$54,895 ","$43,218 ",Financials,Insurance: Property and Casualty (Stock),Mayfield,OH,41.55199520000001,-81.4392828
86,87,Publix Super Markets,"207,000",4,"$38,463 ",5.70%,"$3,005.40 ",26.20%,"$24,507 ",-,Food &  Drug Stores,Food and Drug Stores,Lakeland,FL,28.039465399999997,-81.9498042
87,88,Coca-Cola,"86,200",12,"$37,266 ",17.00%,"$8,920.00 ",38.60%,"$86,381 ","$189,983 ","Food, Beverages &  Tobacco",Beverages,Atlanta,GA,33.7489954,-84.3879824
88,89,Massachusetts Mutual Life Insurance,"9,896",-5,"$37,253 ",-5.10%,"$3,700.70 ",830.10%,"$290,731 ",-,Financials,"Insurance: Life, Health (Mutual)",Springfield,MA,42.1014831,-72.589811
89,90,Tech Data,"15,000",-2,"$36,998 ",-0.60%,$374.50 ,10.00%,"$13,269 ","$4,645 ",Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,FL,27.9658533,-82.8001026
90,91,World Fuel Services,"5,500",-8,"$36,819 ",-7.40%,$178.90 ,40.10%,"$5,992 ","$1,647 ",Energy,Energy,Miami,FL,25.7616798,-80.1917902
91,92,Honeywell International,"113,000",-15,"$36,709 ",-12.20%,"$6,143.00 ",-9.20%,"$58,679 ","$94,628 ",Industrials,"Electronics, Electrical Equip.",Morris Plains,NJ,40.839592200000006,-74.4818698
92,93,ConocoPhillips,"10,400",-7,"$36,670 ",-5.30%,"$7,189.00 ",14.90%,"$70,514 ","$33,167 ",Energy,"Mining, Crude-Oil Production",Houston,TX,29.7604267,-95.36980279999999
93,94,USAA,"35,076",7,"$35,617 ",13.50%,"$4,006.30 ",74.80%,"$173,733 ",-,Financials,Insurance: Property and Casualty (Stock),San Antonio,TX,29.4241219,-98.4936282
94,95,Exelon,"32,713",-2,"$34,438 ",-4.30%,"$2,936.00 ",46.10%,"$124,977 ","$35,850 ",Energy,Utilities: Gas and Electric,Chicago,IL,41.8781136,-87.62979820000001
95,96,Northrop Grumman,"90,000",12,"$33,841 ",12.40%,"$2,248.00 ",-30.40%,"$41,089 ","$50,719 ",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,38.882334,-77.17109140000001
96,97,Capital One Financial,"51,900",1,"$33,766 ",4.30%,"$5,546.00 ",-7.80%,"$390,365 ","$23,063 ",Financials,Commercial Banks,McLean,VA,38.933867600000006,-77.17726040000001
97,98,Plains GP Holdings,"5,000",-4,"$33,669 ",-1.10%,$331.00 ,-0.90%,"$29,969 ","$1,022 ",Energy,Pipelines,Houston,TX,29.7604267,-95.36980279999999
98,99,AbbVie,"30,000",-3,"$33,266 ",1.60%,"$7,882.00 ",38.60%,"$89,115 ","$112,508 ",Health Care,Pharmaceuticals,North Chicago,IL,42.325578,-87.8411818
99,100,StoneX Group,"2,012",12,"$32,897 ",19.10%,$85.10 ,53.30%,"$9,936 ",$700 ,,,,,,
100,101,Enterprise Products Partners,"7,300",-12,"$32,789 ",-10.30%,"$4,591.30 ",10.00%,"$61,733 ","$31,306 ",Energy,Pipelines,Houston,TX,29.7604267,-95.36980279999999
101,102,Northwestern Mutual,"5,964",9,"$32,294 ",10.90%,"$1,268.00 ",61.90%,"$290,318 ",-,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI,43.0389025,-87.9064736
102,103,3M,"96,163",-8,"$32,136 ",-1.90%,"$4,570.00 ",-14.60%,"$44,659 ","$78,529 ",Industrials,Miscellaneous,St Paul,MN,44.953702899999996,-93.0899578
103,104,Abbott Laboratories,"107,000",-1,"$31,904 ",4.30%,"$3,687.00 ",55.70%,"$67,887 ","$139,153 ",Health Care,Medical Products and Equipment,Lake Bluff,IL,42.304505,-87.89607120000001
104,105,CHS,"10,703",-8,"$31,901 ",-2.40%,$829.90 ,7.00%,"$16,448 ",-,"Food, Beverages &  Tobacco",Food Production,Inver Grove Heights,MN,44.8480218,-93.0427153
105,106,Travelers,"30,800",-,"$31,581 ",4.30%,"$2,622.00 ",3.90%,"$110,122 ","$25,337 ",,,,,,
106,107,Philip Morris International,"73,500",3,"$29,805 ",0.60%,"$7,185.00 ",-9.20%,"$42,875 ","$113,606 ","Food, Beverages &  Tobacco",Tobacco,New York,NY,40.7127753,-74.0059728
107,108,Raytheon,"70,000",6,"$29,176 ",7.80%,"$3,343.00 ",14.90%,"$34,566 ","$36,518 ",Aerospace &  Defense,Aerospace and Defense,Waltham,MA,42.376485200000005,-71.2356113
108,109,Hewlett Packard Enterprise,"61,600",-7,"$29,135 ",-5.60%,"$1,049.00 ",-45.00%,"$51,803 ","$12,510 ",Technology,"Computers, Office Equipment",Palo Alto,CA,37.441883399999995,-122.14301950000001
109,110,Arrow Electronics,"19,300",-1,"$28,917 ",-2.60%,($204.10),-128.50%,"$16,401 ","$4,183 ",Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO,39.5807452,-104.87717260000001
110,111,ViacomCBS,"26,280",106,"$27,812 ",91.60%,"$3,308.00 ",68.80%,"$49,519 ","$8,798 ",,,,,,
111,112,Dollar General,"143,000",7,"$27,754 ",8.30%,"$1,712.60 ",7.70%,"$22,825 ","$38,046 ",Retailing,Specialty Retailers: Other,Goodlettsville,TN,36.3231066,-86.7133302
112,113,U.S. Bancorp,"69,651",4,"$27,325 ",6.00%,"$6,914.00 ",-2.60%,"$495,426 ","$52,408 ",Financials,Commercial Banks,Minneapolis,MN,44.977753,-93.2650108
113,114,Starbucks,"346,000",7,"$26,509 ",7.20%,"$3,599.20 ",-20.30%,"$19,220 ","$77,179 ","Hotels, Restaurants &  Leisure",Food Services,Seattle,WA,47.6062095,-122.33207079999998
114,115,Bristol-Myers Squibb,"30,000",23,"$26,145 ",15.90%,"$3,439.00 ",-30.10%,"$129,944 ","$126,110 ",Health Care,Pharmaceuticals,New York,NY,40.7127753,-74.0059728
115,116,US Foods Holding,"28,000",9,"$25,939 ",7.30%,$385.00 ,-5.40%,"$11,288 ","$3,898 ",Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL,41.9867507,-87.87216020000001
116,117,Mondelez International,"80,000",-1,"$25,868 ",-0.30%,"$3,870.00 ",14.50%,"$64,549 ","$71,762 ","Food, Beverages &  Tobacco",Food Consumer Products,Deerfield,IL,42.171136499999996,-87.8445119
117,118,Paccar,"27,000",12,"$25,600 ",9.00%,"$2,387.90 ",8.80%,"$28,361 ","$21,175 ",Industrials,Construction and Farm Machinery,Bellevue,WA,47.6101497,-122.2015159
118,119,Thermo Fisher Scientific,"75,000",5,"$25,542 ",4.90%,"$3,696.00 ",25.80%,"$58,381 ","$113,108 ",Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA,42.376485200000005,-71.2356113
119,120,Macy's,"123,000",-2,"$25,331 ",-1.60%,$564.00 ,-49.10%,"$21,172 ","$1,520 ",,,,,,
120,121,Jabil,"200,000",19,"$25,282 ",14.40%,$287.10 ,232.60%,"$12,971 ","$3,738 ",Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL,27.767600800000004,-82.6402915
121,122,Kraft Heinz,"37,000",-7,"$24,977 ",-4.90%,"$1,935.00 ",-,"$101,450 ","$30,226 ","Food, Beverages &  Tobacco",Food Consumer Products,Pittsburgh,PA,40.440624799999995,-79.9958864
122,123,Duke Energy,"28,793",3,"$24,658 ",2.20%,"$3,748.00 ",40.60%,"$158,838 ","$59,368 ",Energy,Utilities: Gas and Electric,Charlotte,NC,35.2270869,-80.8431267
