,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
247,248,L Brands,"59,950",-7,"$12,914 ",-2.40%,($366.40),-156.90%,"$10,125 ","$3,197 ",Retailing,Specialty Retailers: Apparel,Columbus,OH,39.9611755,-82.9987942
248,249,MGM Resorts International,"72,000",17,"$12,900 ",9.70%,"$2,049.10 ",339.00%,"$33,876 ","$5,814 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,36.169941200000004,-115.13982959999998
249,250,L3Harris Technologies,"50,000",224,"$12,856 ",108.00%,"$1,333.00 ",85.70%,"$38,336 ","$39,067 ",,,,,,
250,251,DISH Network,"16,000",-19,"$12,808 ",-6.00%,"$1,399.50 ",-11.10%,"$33,231 ","$10,456 ",Telecommunications,Telecommunications,Englewood,CO,39.647765299999996,-104.98775970000001
251,252,Lithia Motors,"14,320",13,"$12,673 ",7.20%,$271.50 ,2.20%,"$6,084 ","$1,910 ",Retailing,"Automotive Retailing, Services",Medford,OR,42.3265152,-122.8755949
252,253,DTE Energy,"10,700",-33,"$12,669 ",-10.90%,"$1,169.00 ",4.40%,"$41,882 ","$18,290 ",Energy,Utilities: Gas and Electric,Detroit,MI,42.331427000000005,-83.0457538
253,254,American Family Insurance Group,"13,531",52,"$12,633 ",22.20%,$455.90 ,54.40%,"$31,124 ",-,Financials,Insurance: Property and Casualty (Stock),Madison,WI,43.07305170000001,-89.4012302
254,255,Farmers Insurance Exchange,"10,980",15,"$12,593 ",8.10%,$55.30 ,-,"$17,457 ",-,Financials,Insurance: Property and Casualty (Mutual),Los Angeles,CA,34.165357,-118.6089752
255,256,Consolidated Edison,"14,890",3,"$12,574 ",1.90%,"$1,343.00 ",-2.80%,"$58,079 ","$26,035 ",Energy,Utilities: Gas and Electric,New York,NY,40.7127753,-74.0059728
256,257,LKQ,"51,000",5,"$12,506 ",5.30%,$541.30 ,12.70%,"$12,780 ","$6,311 ",Wholesalers,Wholesalers: Diversified,Chicago,IL,41.8781136,-87.62979820000001
257,258,Sempra Energy,"13,969",11,"$12,443 ",6.50%,"$2,197.00 ",109.40%,"$65,665 ","$33,037 ",Energy,Utilities: Gas and Electric,San Diego,CA,32.715738,-117.1610838
258,259,Edison International,"12,937",-4,"$12,347 ",-2.40%,"$1,284.00 ",-,"$64,382 ","$19,868 ",Energy,Utilities: Gas and Electric,Rosemead,CA,34.0805651,-118.072846
259,260,CenterPoint Energy,"14,262",39,"$12,301 ",16.20%,$791.00 ,114.90%,"$35,439 ","$7,765 ",Energy,Utilities: Gas and Electric,Houston,TX,29.7604267,-95.36980279999999
260,261,Quanta Services,"40,300",22,"$12,112 ",8.40%,$402.00 ,37.10%,"$8,332 ","$4,537 ",Engineering &  Construction,"Engineering, Construction",Houston,TX,29.7604267,-95.36980279999999
261,262,Murphy USA,"7,250",-5,"$12,101 ",-3.40%,$154.80 ,-27.50%,"$2,687 ","$2,557 ",Retailing,Specialty Retailers: Other,El Dorado,AR,33.20763,-92.66626740000001
262,263,Expedia Group,"25,400",17,"$12,067 ",7.50%,$565.00 ,39.20%,"$21,416 ","$7,877 ",Retailing,Internet Services and Retailing,Bellevue,WA,47.6101497,-122.2015159
263,264,Group 1 Automotive,"15,296",8,"$12,044 ",3.80%,$174.00 ,10.30%,"$5,570 ",$813 ,Retailing,"Automotive Retailing, Services",Houston,TX,29.7604267,-95.36980279999999
264,265,Bed Bath & Beyond,"62,000",-7,"$12,029 ",-2.60%,($137.20),-132.30%,"$6,571 ",$535 ,Retailing,Specialty Retailers: Other,Union,NJ,40.697589799999996,-74.2631635
265,266,Unum Group,"10,300",7,"$11,999 ",3.50%,"$1,100.30 ",110.20%,"$67,013 ","$3,047 ",Financials,"Insurance: Life, Health (stock)",Chattanooga,TN,35.0456297,-85.3096801
266,267,CSX,"20,908",-7,"$11,937 ",-2.60%,"$3,331.00 ",0.70%,"$38,257 ","$44,162 ",Transportation,Railroads,Jacksonville,FL,30.3321838,-81.655651
267,268,AutoZone,"75,840",13,"$11,864 ",5.70%,"$1,617.20 ",20.90%,"$9,896 ","$19,756 ",Retailing,Specialty Retailers: Other,Memphis,TN,35.1495343,-90.0489801
268,269,Pacific Life,"3,815",29,"$11,847 ",10.70%,$725.00 ,-20.60%,"$171,473 ",-,Financials,"Insurance: Life, Health (stock)",Newport Beach,CA,33.618882899999996,-117.9298493
269,270,Vistra Energy,"5,475",67,"$11,809 ",29.10%,$928.00 ,-,"$26,616 ","$7,795 ",Energy,Energy,Irving,TX,32.814017699999994,-96.9488945
270,271,Charles Schwab,"19,700",18,"$11,785 ",7.20%,"$3,704.00 ",5.60%,"$294,005 ","$43,278 ",Financials,Securities,SF,CA,37.7749295,-122.4194155
271,272,Crown Holdings,"33,043",12,"$11,665 ",4.60%,$510.00 ,16.20%,"$15,505 ","$7,876 ",Materials,"Packaging, Containers",Philadelphia,PA,39.9525839,-75.1652215
272,273,Ally Financial,"8,700",30,"$11,618 ",11.00%,"$1,715.00 ",35.80%,"$180,644 ","$5,403 ",Financials,Diversified Financials,Detroit,MI,42.331427000000005,-83.0457538
273,274,Laboratory Corp. of America,"65,000",4,"$11,555 ",2.00%,$823.80 ,-6.80%,"$18,046 ","$12,298 ",Health Care,Health Care: Pharmacy and Other Services,Burlington,NC,36.0956918,-79.43779909999999
274,275,Live Nation Entertainment,"18,200",17,"$11,548 ",7.00%,$69.90 ,16.00%,"$10,976 ","$9,753 ",Media,Entertainment,Beverly Hills,CA,34.073620399999996,-118.40035630000001
275,276,Xcel Energy,"11,295",-2,"$11,529 ",-0.10%,"$1,372.00 ",8.80%,"$50,448 ","$31,638 ",Energy,Utilities: Gas and Electric,Minneapolis,MN,44.977753,-93.2650108
276,277,Corning,"49,500",2,"$11,503 ",1.90%,$960.00 ,-9.90%,"$28,898 ","$15,664 ",Industrials,"Electronics, Electrical Equip.",Corning,NY,42.1428521,-77.05469029999999
277,278,W.W. Grainger,"24,550",4,"$11,486 ",2.40%,$849.00 ,8.60%,"$6,005 ","$13,338 ",Wholesalers,Wholesalers: Diversified,Lake Forest,IL,42.2586342,-87.840625
278,279,Ball,"18,300",-8,"$11,474 ",-1.40%,$566.00 ,24.70%,"$17,360 ","$21,065 ",Materials,"Packaging, Containers",Broomfield,CO,39.9205411,-105.0866504
279,280,Fox,"7,700",-,"$11,389 ",-,"$1,595.00 ",-,"$19,509 ","$14,143 ",,,,,,
280,281,Universal Health Services,"79,050",12,"$11,378 ",5.60%,$814.90 ,4.50%,"$11,668 ","$8,593 ",Health Care,Health Care: Medical Facilities,King of Prussia,PA,40.101285600000004,-75.38355250000001
281,282,Baxter International,"50,000",4,"$11,362 ",2.40%,"$1,001.00 ",-35.30%,"$18,193 ","$41,180 ",Health Care,Medical Products and Equipment,Deerfield,IL,42.171136499999996,-87.8445119
282,283,Norfolk Southern,"24,587",-6,"$11,296 ",-1.40%,"$2,722.00 ",2.10%,"$37,923 ","$37,537 ",Transportation,Railroads,Norfolk,VA,36.8507689,-76.28587259999999
283,284,Navistar International,"12,300",24,"$11,251 ",9.80%,$221.00 ,-35.00%,"$6,917 ","$1,641 ",Industrials,Construction and Farm Machinery,Lisle,IL,41.801140999999994,-88.0747875
284,285,Adobe,"22,634",54,"$11,171 ",23.70%,"$2,951.50 ",13.90%,"$20,762 ","$153,328 ",,,,,,
285,286,J.C. Penney,"90,000",-25,"$11,167 ",-7.10%,($268.00),-,"$7,989 ",$116 ,Retailing,General Merchandisers,Plano,TX,33.0198431,-96.6988856
286,287,Discovery,"9,200",13,"$11,144 ",5.60%,"$2,069.00 ",248.30%,"$33,735 ","$9,503 ",Media,Entertainment,Silver Spring,MD,38.9906657,-77.026088
287,288,Keurig Dr Pepper,"25,500",121,"$11,120 ",49.40%,"$1,254.00 ",114.00%,"$49,518 ","$34,148 ",,,,,,
288,289,Leidos Holdings,"34,000",22,"$11,094 ",8.80%,$667.00 ,14.80%,"$9,367 ","$13,000 ",Technology,Information Technology Services,Reston,VA,38.9586307,-77.35700279999999
289,290,IQVIA Holdings,"67,000",15,"$11,088 ",6.50%,$191.00 ,-26.30%,"$23,251 ","$20,797 ",Health Care,Health Care: Pharmacy and Other Services,Durham,NC,35.980513,-78.90511
290,291,Reliance Steel & Aluminum,"15,300",-16,"$10,974 ",-4.90%,$701.50 ,10.70%,"$8,131 ","$5,856 ",Materials,Metals,Los Angeles,CA,34.0522342,-118.24368490000002
291,292,Nvidia,"13,775",-24,"$10,918 ",-6.80%,"$2,796.00 ",-32.50%,"$17,315 ","$161,451 ",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,37.354107899999995,-121.9552356
292,293,Entergy,"13,635",-5,"$10,879 ",-1.20%,"$1,241.20 ",46.30%,"$51,724 ","$18,871 ",Energy,Utilities: Gas and Electric,New Orleans,LA,29.9510658,-90.0715323
293,294,FirstEnergy,"12,316",-31,"$10,850 ",-8.50%,$912.00 ,-32.30%,"$42,301 ","$21,666 ",Energy,Utilities: Gas and Electric,Akron,OH,41.081444700000006,-81.51900529999999
294,295,eBay,"13,300",-,"$10,800 ",0.50%,"$1,786.00 ",-29.40%,"$18,174 ","$23,930 ",Technology,Internet Services and Retailing,San Jose,CA,37.338208200000004,-121.88632859999998
295,296,Boston Scientific,"36,000",23,"$10,735 ",9.30%,"$4,700.00 ",181.30%,"$30,565 ","$45,656 ",Health Care,Medical Products and Equipment,Marlboro,MA,42.3459271,-71.55228740000001
296,297,Office Depot,"40,000",-12,"$10,647 ",-4.30%,$99.00 ,-4.80%,"$7,311 ",$868 ,Retailing,Specialty Retailers: Other,Boca Raton,FL,26.3683064,-80.1289321
297,298,Molson Coors Beverage,"17,700",-4,"$10,579 ",-1.80%,$241.70 ,-78.40%,"$28,860 ","$8,441 ",,,,,,
298,299,Steel Dynamics,"8,385",-35,"$10,465 ",-11.50%,$671.10 ,-46.70%,"$8,276 ","$4,794 ",Materials,Metals,Fort Wayne,IN,41.079273,-85.13935129999999
299,300,Mutual of Omaha Insurance,"6,072",36,"$10,456 ",11.90%,$271.50 ,-2.10%,"$50,174 ",-,Financials,"Insurance: Life, Health (stock)",Omaha,NE,41.2565369,-95.93450340000001
300,301,Sonic Automotive,"9,300",15,"$10,454 ",5.10%,$144.10 ,179.10%,"$4,071 ",$567 ,Retailing,"Automotive Retailing, Services",Charlotte,NC,35.2270869,-80.8431267
301,302,Alcoa,"13,800",-66,"$10,433 ",-22.20%,"($1,125.00)",-595.60%,"$14,631 ","$1,145 ",Materials,Metals,Pittsburgh,PA,40.440624799999995,-79.9958864
302,303,Fidelity National Information Services,"55,000",58,"$10,333 ",22.70%,$298.00 ,-64.80%,"$83,806 ","$74,969 ",Business Services,Financial Data Services,Jacksonville,FL,30.3321838,-81.655651
303,304,Henry Schein,"19,000",-62,"$10,305 ",-21.90%,$694.70 ,29.60%,"$7,151 ","$7,244 ",Wholesalers,Wholesalers: Health Care,Melville,NY,40.793432200000005,-73.4151214
304,305,Republic Services,"36,000",9,"$10,299 ",2.60%,"$1,073.30 ",3.50%,"$22,684 ","$23,956 ",Business Services,Waste Management,Phoenix,AZ,33.4483771,-112.07403729999999
305,306,Liberty Media,"6,753",74,"$10,292 ",28.00%,$106.00 ,-80.00%,"$44,189 ","$9,972 ",Media,Entertainment,Englewood,CO,39.647765299999996,-104.98775970000001
306,307,Peter Kiewit Sons',"23,000",33,"$10,283 ",13.90%,$419.00 ,-10.50%,"$5,717 ",-,,,,,,
307,308,Interpublic Group,"54,300",14,"$10,221 ",5.20%,$656.00 ,6.00%,"$17,752 ","$6,279 ",Business Services,"Advertising, marketing",New York,NY,40.7127753,-74.0059728
308,309,PulteGroup,"5,245",3,"$10,213 ",0.20%,"$1,016.70 ",-0.50%,"$10,716 ","$6,015 ",Engineering &  Construction,Homebuilders,Atlanta,GA,33.7489954,-84.3879824
309,310,AES,"8,000",-14,"$10,189 ",-5.10%,$303.00 ,-74.80%,"$33,648 ","$9,041 ",Energy,Utilities: Gas and Electric,Arlington,VA,38.8816208,-77.0909809
310,311,Fiserv,"44,000",177,"$10,187 ",74.90%,$893.00 ,-24.80%,"$77,539 ","$64,508 ",Business Services,Financial Data Services,Brookfield,WI,43.0605671,-88.1064787
311,312,BorgWarner,"29,000",-11,"$10,168 ",-3.40%,$746.00 ,-19.80%,"$9,702 ","$5,037 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,42.6875323,-83.23410279999999
312,313,Oneok,"2,882",-57,"$10,164 ",-19.30%,"$1,278.60 ",11.00%,"$21,812 ","$9,015 ",Energy,Pipelines,Tulsa,OK,36.1539816,-95.992775
313,314,O'Reilly Automotive,"67,663",15,"$10,150 ",6.40%,"$1,391.00 ",5.00%,"$10,717 ","$22,353 ",,,,,,
314,315,Assurant,"13,900",63,"$10,087 ",25.20%,$382.60 ,52.40%,"$44,291 ","$6,218 ",Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
315,316,Newell Brands,"30,000",-73,"$10,083 ",-22.60%,$106.60 ,-,"$15,642 ","$5,949 ",Household Products,"Home Equipment, Furnishings",Hoboken,NJ,40.7439905,-74.0323626
316,317,Public Service Enterprise Group,"12,992",6,"$10,076 ",3.90%,"$1,693.00 ",17.70%,"$47,730 ","$22,685 ",Energy,Utilities: Gas and Electric,Newark,NJ,40.735657,-74.1723667
317,318,News Corp.,"28,000",23,"$10,074 ",11.60%,$155.00 ,-,"$15,711 ","$5,280 ",Media,"Publishing, Printing",New York,NY,40.7127753,-74.0059728
318,319,Calpine,"2,256",11,"$10,072 ",5.90%,$770.00 ,7600.00%,"$16,649 ",-,Energy,Energy,Houston,TX,29.7604267,-95.36980279999999
319,320,Auto-Owners Insurance,"6,141",62,"$10,007 ",25.10%,"$1,352.40 ",79.20%,"$27,135 ",-,Financials,Insurance: Property and Casualty (Mutual),Lansing,MI,42.732535,-84.55553470000001
320,321,Mohawk Industries,"41,800",-6,"$9,971 ",-0.10%,$744.20 ,-13.60%,"$13,387 ","$5,464 ",Household Products,"Home Equipment, Furnishings",Calhoun,GA,34.502587,-84.9510542
321,322,PVH,"30,750",2,"$9,909 ",2.60%,$417.30 ,-44.10%,"$13,631 ","$2,746 ",Apparel,Apparel,New York,NY,40.7127753,-74.0059728
322,322,Campbell Soup,"19,000",27,"$9,909 ",14.10%,$211.00 ,-19.20%,"$13,148 ","$13,929 ","Food, Beverages &  Tobacco",Food Consumer Products,Camden,NJ,39.9259463,-75.1196199
323,324,NRG Energy,"4,577",-33,"$9,871 ",-8.60%,"$4,438.00 ",1556.00%,"$12,531 ","$6,830 ",Energy,Energy,Princeton,NJ,40.3572976,-74.66722259999999
324,325,Fifth Third Bancorp,"19,869",59,"$9,790 ",22.80%,"$2,512.00 ",14.50%,"$169,369 ","$10,560 ",Financials,Commercial Banks,Cincinnati,OH,39.103118200000004,-84.5120196
325,326,Hertz Global Holdings,"38,000",5,"$9,779 ",2.90%,($58.00),-,"$24,627 ",$878 ,Retailing,"Automotive Retailing, Services",Estero,FL,26.438136,-81.8067523
326,327,Altice USA,"10,700",-,"$9,761 ",2.00%,$138.90 ,637.70%,"$34,108 ","$14,110 ",,,,,,
327,328,Newmont,"16,600",91,"$9,740 ",34.30%,"$2,805.00 ",722.60%,"$39,974 ","$36,577 ",,,,,,
328,329,Cheniere Energy,"1,530",54,"$9,730 ",21.80%,$648.00 ,37.60%,"$35,492 ","$8,512 ",Energy,Energy,Houston,TX,29.7604267,-95.36980279999999
329,330,Advance Auto Parts,"53,000",-4,"$9,709 ",1.30%,$486.90 ,14.90%,"$11,249 ","$6,461 ",Retailing,Specialty Retailers: Other,Roanoke,VA,37.270970399999996,-79.9414266
330,331,Lam Research,"10,700",-44,"$9,654 ",-12.90%,"$2,191.40 ",-7.90%,"$12,001 ","$34,932 ",Technology,Semiconductors and Other Electronic Components,Fremont,CA,37.548269700000006,-121.98857190000001
331,332,Owens & Minor,"15,400",-15,"$9,650 ",-1.90%,($62.40),-,"$3,643 ",$577 ,Wholesalers,Wholesalers: Health Care,Mechanicsville,VA,37.6087561,-77.37331390000001
332,333,Equitable Holdings,"10,100",-,"$9,591 ",-20.60%,"($1,733.00)",-195.20%,"$249,870 ","$6,707 ",,,,,,
333,334,Conagra Brands,"18,000",52,"$9,538 ",20.20%,$678.30 ,-16.10%,"$22,214 ","$14,291 ","Food, Beverages &  Tobacco",Food Consumer Products,Chicago,IL,41.8781136,-87.62979820000001
334,335,Markel,"18,600",106,"$9,526 ",39.20%,"$1,790.50 ",-,"$37,474 ","$12,787 ",Financials,Insurance: Property and Casualty (Stock),Glen Allen,VA,37.665978,-77.5063739
335,336,Jones Financial (Edward Jones),"49,000",20,"$9,526 ",10.80%,"$1,092.00 ",10.30%,"$19,317 ",-,Financials,Securities,Des Peres,MO,38.59722,-90.448126
336,337,Hormel Foods,"18,800",-9,"$9,497 ",-0.50%,$978.80 ,-3.30%,"$8,109 ","$25,082 ","Food, Beverages &  Tobacco",Food Consumer Products,Austin,MN,43.6666296,-92.9746367
337,338,Hilton Worldwide Holdings,"173,000",7,"$9,452 ",6.10%,$881.00 ,15.30%,"$14,957 ","$18,933 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",McLean,VA,38.933867600000006,-77.17726040000001
338,339,Univar Solutions,"10,300",14,"$9,444 ",9.40%,($100.20),-158.20%,"$6,495 ","$1,810 ",,,,,,
339,340,United Rentals,"19,100",39,"$9,351 ",16.20%,"$1,174.00 ",7.10%,"$18,970 ","$7,623 ",Business Services,Miscellaneous,Stamford,CT,41.0534302,-73.53873409999999
340,341,Pioneer Natural Resources,"2,323",-8,"$9,304 ",-1.20%,$756.00 ,-22.70%,"$19,067 ","$11,625 ",Energy,"Mining, Crude-Oil Production",Irving,TX,32.814017699999994,-96.9488945
341,342,Delek US Holdings,"3,707",-35,"$9,298 ",-9.40%,$310.60 ,-8.70%,"$7,016 ","$1,190 ",Energy,Petroleum Refining,Brentwood,TN,36.0331164,-86.7827772
342,343,Eastman Chemical,"14,500",-30,"$9,273 ",-8.60%,$759.00 ,-29.70%,"$16,008 ","$6,330 ",Chemicals,Chemicals,Kingsport,TN,36.548434,-82.5618186
343,344,EMCOR Group,"36,000",31,"$9,175 ",12.80%,$325.10 ,14.70%,"$4,830 ","$3,450 ",Engineering &  Construction,"Engineering, Construction",Norwalk,CT,41.117744,-73.4081575
344,345,Avis Budget Group,"25,600",-7,"$9,172 ",0.50%,$302.00 ,83.00%,"$23,126 ",$967 ,Retailing,"Automotive Retailing, Services",Parsippany-Troy Hills,NJ,40.865286499999996,-74.41738769999999
345,346,J.B. Hunt Transport Services,"29,056",8,"$9,165 ",6.40%,$516.30 ,5.50%,"$5,471 ","$9,800 ",Transportation,"Trucking, Truck Leasing",Lowell,AR,36.25535429999999,-94.1307587
346,347,Xerox Holdings,"27,000",-29,"$9,145 ",-7.00%,"$1,353.00 ",274.80%,"$15,047 ","$4,030 ",,,,,,
347,348,Wayfair,"16,985",98,"$9,127 ",34.60%,($984.60),-,"$2,953 ","$5,043 ",Technology,Internet Services and Retailing,Boston,MA,42.360082500000004,-71.0588801
348,349,KKR,"1,384",-,"$9,120 ",74.60%,"$2,005.00 ",77.30%,"$60,899 ","$19,913 ",Financials,Securities,New York,NY,40.7127753,-74.0059728
349,350,AGCO,"20,961",-15,"$9,041 ",-3.30%,$125.20 ,-56.10%,"$7,760 ","$3,546 ",Industrials,Construction and Farm Machinery,Duluth,GA,34.0028786,-84.1446376
350,351,Alleghany,"10,786",86,"$9,041 ",31.30%,$857.80 ,2069.50%,"$26,932 ","$7,924 ",Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
351,352,Icahn Enterprises,"28,033",-186,"$8,992 ",-52.60%,"($1,098.00)",-172.90%,"$24,639 ","$10,366 ",Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
352,353,Voya Financial,"6,000",-10,"$8,942 ",0.10%,($351.00),-140.10%,"$169,051 ","$5,366 ",Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
353,354,Ryder System,"39,900",9,"$8,926 ",6.10%,($24.40),-108.90%,"$14,475 ","$1,381 ",Transportation,"Trucking, Truck Leasing",Miami,FL,25.7616798,-80.1917902
354,355,Air Products & Chemicals,"17,570",-11,"$8,919 ",-0.10%,"$1,760.00 ",17.50%,"$18,943 ","$44,050 ",Chemicals,Chemicals,Allentown,PA,40.6022939,-75.4714098
355,356,Mosaic,"12,600",-31,"$8,906 ",-7.10%,"($1,067.40)",-327.10%,"$19,299 ","$4,098 ",Chemicals,Chemicals,Plymouth,MN,45.01051939999999,-93.4555093
356,357,Huntington Ingalls Industries,"42,000",14,"$8,899 ",8.80%,$549.00 ,-34.30%,"$7,031 ","$7,420 ",Aerospace &  Defense,Aerospace and Defense,Newport News,VA,37.087082099999996,-76.4730122
357,358,Berry Global Group,"48,000",31,"$8,878 ",12.80%,$404.00 ,-18.50%,"$16,469 ","$4,463 ",Materials,"Packaging, Containers",Evansville,IN,37.9715592,-87.5710898
358,359,Anixter International,"9,400",5,"$8,846 ",5.30%,$262.90 ,68.20%,"$4,809 ","$2,973 ",Wholesalers,Wholesalers: Electronics and Office Equipment,Glenview,IL,42.069750899999995,-87.7878408
359,360,Alaska Air Group,"24,134",8,"$8,781 ",6.30%,$769.00 ,76.00%,"$12,993 ","$3,490 ",Transportation,Airlines,Seattle,WA,47.6062095,-122.33207079999998
360,361,Yum China Holdings,"450,000",1,"$8,776 ",4.30%,$713.00 ,0.70%,"$6,950 ","$16,033 ","Hotels, Restaurants &  Leisure",Food Services,Plano,TX,33.0198431,-96.6988856
361,362,Dick's Sporting Goods,"28,450",-3,"$8,751 ",3.70%,$297.50 ,-7.00%,"$6,629 ","$1,848 ",,,,,,
362,363,Caesars Entertainment,"64,000",2,"$8,742 ",4.20%,"($1,195.00)",-494.40%,"$25,345 ","$4,612 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,36.169941200000004,-115.13982959999998
363,364,Genworth Financial,"3,100",-4,"$8,681 ",3.00%,$343.00 ,188.20%,"$101,342 ","$1,676 ",Financials,"Insurance: Life, Health (stock)",Richmond,VA,37.540724600000004,-77.4360481
364,365,Targa Resources,"2,680",-63,"$8,671 ",-17.30%,($209.20),-13175.00%,"$18,815 ","$1,611 ",Energy,Pipelines,Houston,TX,29.7604267,-95.36980279999999
365,366,Coty,"19,000",-32,"$8,649 ",-8.00%,"($3,784.20)",-,"$17,665 ","$3,924 ",Household Products,Household and Personal Products,New York,NY,40.7127753,-74.0059728
366,367,Dana,"36,300",6,"$8,620 ",5.90%,$226.00 ,-47.10%,"$7,220 ","$1,128 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Maumee,OH,41.5628294,-83.6538244
367,368,Thrivent Financial for Lutherans,"3,235",-17,"$8,612 ",-0.30%,$968.10 ,-21.50%,"$102,478 ",-,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,MN,44.977753,-93.2650108
368,369,Autoliv,"61,957",-48,"$8,548 ",-12.80%,$461.50 ,142.40%,"$6,771 ","$4,017 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,42.6875323,-83.23410279999999
369,370,SpartanNash,"13,800",7,"$8,536 ",5.80%,$5.70 ,-82.90%,"$2,276 ",$521 ,Wholesalers,Wholesalers: Food and Grocery,Byron Center,MI,42.812250799999994,-85.7228061
370,371,Eversource Energy,"8,234",-13,"$8,527 ",0.90%,$909.10 ,-12.00%,"$41,124 ","$25,835 ",Energy,Utilities: Gas and Electric,Springfield,MA,42.1014831,-72.589811
371,372,Darden Restaurants,"184,514",4,"$8,510 ",5.30%,$713.40 ,19.70%,"$5,893 ","$6,580 ","Hotels, Restaurants &  Leisure",Food Services,Orlando,FL,28.5383355,-81.3792365
