,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
372,373,Chesapeake Energy,"2,300",-64,"$8,489 ",-17.00%,($308.00),-135.30%,"$16,193 ",$338 ,Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,35.4675602,-97.5164276
373,374,National Oilwell Varco,"34,645",-17,"$8,479 ",0.30%,"($6,095.00)",-,"$13,149 ","$3,794 ",Energy,"Oil and Gas Equipment, Services",Houston,TX,29.7604267,-95.36980279999999
374,375,Fidelity National Financial,"23,484",27,"$8,469 ",11.50%,"$1,062.00 ",69.10%,"$10,677 ","$6,854 ",Financials,Insurance: Property and Casualty (Stock),Jacksonville,FL,30.3321838,-81.655651
375,376,Erie Insurance Group,"5,778",5,"$8,443 ",5.10%,$551.00 ,-19.70%,"$23,347 ",-,Financials,Insurance: Property and Casualty (Mutual),Erie,PA,42.1292241,-80.085059
376,377,Oshkosh,"15,400",18,"$8,382 ",8.80%,$579.40 ,22.80%,"$5,566 ","$4,394 ",Industrials,Construction and Farm Machinery,Oshkosh,WI,44.024706200000004,-88.5426136
377,378,Casey's General Stores,"26,866",30,"$8,365 ",11.90%,$203.90 ,-35.90%,"$3,731 ","$4,875 ",,,,,,
378,379,WESCO International,"9,500",-9,"$8,359 ",2.20%,$223.40 ,-1.70%,"$5,018 ",$957 ,Wholesalers,Wholesalers: Diversified,Pittsburgh,PA,40.440624799999995,-79.9958864
379,380,Tractor Supply,"24,000",8,"$8,352 ",5.60%,$562.40 ,5.60%,"$5,289 ","$9,810 ",Retailing,Specialty Retailers: Other,Brentwood,TN,36.0331164,-86.7827772
380,381,CommScope Holding,"30,000",-,"$8,345 ",82.70%,($929.50),-762.90%,"$14,432 ","$1,779 ",Technology,Network and Other Communications Equipment,Newton,NC,35.7344538,-81.3444573
381,382,Huntsman,"10,000",-106,"$8,342 ",-27.60%,$562.00 ,66.80%,"$8,320 ","$3,217 ",Chemicals,Chemicals,The Woodlands,TX,30.1658207,-95.4612625
382,383,American Financial Group,"7,700",44,"$8,237 ",15.20%,$897.00 ,69.20%,"$70,130 ","$6,331 ",Financials,Insurance: Property and Casualty (Stock),Cincinnati,OH,39.103118200000004,-84.5120196
383,384,Masco,"22,000",-18,"$8,235 ",-1.50%,$935.00 ,27.40%,"$5,027 ","$9,118 ",Household Products,"Home Equipment, Furnishings",Livonia,MI,42.36837,-83.3527097
384,385,Sanmina,"38,500",44,"$8,234 ",15.80%,$141.50 ,-,"$3,906 ","$1,927 ",Technology,Semiconductors and Other Electronic Components,San Jose,CA,37.338208200000004,-121.88632859999998
385,386,Amphenol,"74,000",-17,"$8,225 ",0.30%,"$1,155.00 ",-4.10%,"$10,816 ","$21,726 ",Technology,Network and Other Communications Equipment,Wallingford,CT,41.45701079999999,-72.82307359999999
386,387,Williams,"4,812",-39,"$8,201 ",-5.60%,$850.00 ,-,"$46,040 ","$17,166 ",Energy,Energy,Tulsa,OK,36.1539816,-95.992775
387,388,Westinghouse Air Brake,"27,500",-,"$8,200 ",87.90%,$326.70 ,10.80%,"$18,944 ","$9,227 ",Industrials,Industrial Machinery,Wilmerding,PA,40.3909023,-79.8100472
388,389,Expeditors Intl. of Washington,"18,000",-15,"$8,175 ",0.50%,$590.40 ,-4.50%,"$3,692 ","$11,208 ",Transportation,Transportation and Logistics,Seattle,WA,47.6062095,-122.33207079999998
389,390,Andersons,"2,284",-,"$8,170 ",168.30%,$18.30 ,-55.90%,"$3,901 ",$629 ,"Food, Beverages &  Tobacco",Food Production,Maumee,OH,41.5628294,-83.6538244
390,391,Westlake Chemical,"9,430",-39,"$8,118 ",-6.00%,$421.00 ,-57.70%,"$13,261 ","$4,901 ",Chemicals,Chemicals,Houston,TX,29.7604267,-95.36980279999999
391,392,Constellation Brands,"9,800",11,"$8,116 ",7.00%,"$3,435.90 ",48.20%,"$29,232 ","$27,601 ","Food, Beverages &  Tobacco",Beverages,Victor,NY,42.982563299999995,-77.40887940000002
392,393,Frontier Communications,"18,317",-38,"$8,107 ",-5.90%,"($5,911.00)",-,"$17,488 ",$40 ,Telecommunications,Telecommunications,Norwalk,CT,41.117744,-73.4081575
393,394,JetBlue Airways,"19,032",5,"$8,094 ",5.70%,$569.00 ,202.70%,"$11,918 ","$2,526 ",Transportation,Airlines,,NY,40.744679,-73.94854240000001
394,395,Citizens Financial Group,"17,997",20,"$8,066 ",9.70%,"$1,791.00 ",4.10%,"$165,733 ","$8,040 ",Financials,Commercial Banks,Providence,RI,41.8239891,-71.4128343
395,396,Raymond James Financial,"14,200",11,"$8,023 ",7.30%,"$1,034.00 ",20.70%,"$38,830 ","$8,803 ",Financials,Securities,St. Petersburg,FL,27.767600800000004,-82.6402915
396,397,Foot Locker,"33,294",-12,"$8,005 ",0.80%,$491.00 ,-9.20%,"$6,589 ","$2,297 ",Retailing,Specialty Retailers: Apparel,New York,NY,40.7127753,-74.0059728
397,398,Hershey,"15,330",-7,"$7,986 ",2.50%,"$1,149.70 ",-2.40%,"$8,140 ","$27,792 ","Food, Beverages &  Tobacco",Food Consumer Products,Hershey,PA,40.2859239,-76.6502468
398,399,Zimmer Biomet Holdings,"19,900",-12,"$7,982 ",0.60%,"$1,131.60 ",-,"$24,639 ","$20,891 ",Health Care,Medical Products and Equipment,Warsaw,IN,41.2381,-85.85304690000001
399,400,Cincinnati Financial,"5,200",-,"$7,924 ",46.50%,"$1,997.40 ",595.60%,"$25,408 ","$12,242 ",Financials,Insurance: Property and Casualty (Stock),Fairfield,OH,39.345467299999996,-84.56031870000001
400,401,Western & Southern Financial Group,"2,787",20,"$7,921 ",9.90%,$244.90 ,-50.50%,"$54,703 ",-,,,,,,
401,402,W.R. Berkley,"7,493",-5,"$7,902 ",2.70%,$681.90 ,6.40%,"$26,643 ","$9,569 ",Financials,Insurance: Property and Casualty (Stock),Greenwich,CT,41.0262417,-73.62819640000001
402,403,Motorola Solutions,"17,000",13,"$7,887 ",7.40%,$868.00 ,-10.10%,"$10,642 ","$22,803 ",Technology,Network and Other Communications Equipment,Chicago,IL,41.8781136,-87.62979820000001
403,404,Thor Industries,"21,750",-37,"$7,865 ",-5.60%,$133.30 ,-69.00%,"$5,660 ","$2,328 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Elkhart,IN,41.6819935,-85.9766671
404,405,Regeneron Pharmaceuticals,"8,100",45,"$7,863 ",17.20%,"$2,115.80 ",-13.40%,"$14,805 ","$53,722 ",Health Care,Pharmaceuticals,Tarrytown,NY,41.076207700000005,-73.85874609999999
405,406,Spirit AeroSystems Holdings,"18,200",14,"$7,863 ",8.90%,$530.10 ,-14.10%,"$7,606 ","$2,507 ",Aerospace &  Defense,Aerospace and Defense,Wichita,KS,37.6871761,-97.330053
406,407,J.M. Smucker,"7,400",7,"$7,838 ",6.50%,$514.40 ,-61.60%,"$16,711 ","$12,658 ","Food, Beverages &  Tobacco",Food Consumer Products,Orrville,OH,40.843666299999995,-81.7640212
407,408,PPL,"12,280",-16,"$7,769 ",-0.20%,"$1,746.00 ",-4.40%,"$45,680 ","$18,950 ",Energy,Utilities: Gas and Electric,Allentown,PA,40.6022939,-75.4714098
408,409,Insight Enterprises,"11,261",21,"$7,731 ",9.20%,$159.40 ,-2.60%,"$4,178 ","$1,486 ",Technology,Information Technology Services,Tempe,AZ,33.4255104,-111.9400054
409,410,Quest Diagnostics,"47,000",-6,"$7,726 ",2.60%,$858.00 ,16.60%,"$12,843 ","$10,716 ",Health Care,Health Care: Pharmacy and Other Services,Secaucus,NJ,40.7895453,-74.05652979999999
410,411,KeyCorp,"17,045",2,"$7,694 ",4.10%,"$1,717.00 ",-8.00%,"$144,988 ","$10,058 ",Financials,Commercial Banks,Cleveland,OH,41.499320000000004,-81.6943605
411,412,Veritiv,"8,000",-65,"$7,659 ",-11.90%,($29.50),-,"$2,511 ",$127 ,Wholesalers,Wholesalers: Diversified,Atlanta,GA,33.7489954,-84.3879824
412,413,DCP Midstream,"2,250",-93,"$7,625 ",-22.40%,$17.00 ,-94.30%,"$14,127 ",$848 ,Energy,Pipelines,Denver,CO,39.739235799999996,-104.990251
413,414,American Tower,"5,454",-4,"$7,580 ",1.90%,"$1,887.80 ",52.70%,"$42,802 ","$96,444 ",Financials,Real estate,Boston,MA,42.360082500000004,-71.0588801
414,415,Graybar Electric,"9,000",8,"$7,524 ",4.50%,$144.50 ,0.80%,"$2,518 ",-,Wholesalers,Wholesalers: Diversified,St. Louis,MO,38.6270025,-90.1994042
415,416,WEC Energy Group,"7,509",-18,"$7,523 ",-2.00%,"$1,134.00 ",7.10%,"$34,952 ","$27,799 ",Energy,Utilities: Gas and Electric,Milwaukee,WI,43.0389025,-87.9064736
416,417,NVR,"5,700",7,"$7,428 ",3.30%,$878.50 ,10.20%,"$3,810 ","$9,475 ",Engineering &  Construction,Homebuilders,Reston,VA,38.9586307,-77.35700279999999
417,418,Ulta Beauty,"31,000",31,"$7,398 ",10.10%,$705.90 ,7.20%,"$4,864 ","$9,894 ",Retailing,Specialty Retailers: Other,Bolingbrook,IL,41.6986416,-88.0683955
418,419,Devon Energy,"1,800",-122,"$7,372 ",-31.30%,($355.00),-111.60%,"$13,717 ","$2,646 ",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,35.4675602,-97.5164276
419,420,Blackstone Group,"2,905",22,"$7,338 ",7.40%,"$2,049.70 ",32.90%,"$32,586 ","$30,696 ",Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
420,421,Dean Foods,"14,500",-28,"$7,329 ",-5.50%,($499.90),-,"$2,229 ",$10 ,"Food, Beverages &  Tobacco",Food Consumer Products,Dallas,TX,32.7766642,-96.7969879
421,422,Fortive,"25,000",-,"$7,326 ",1.70%,$738.90 ,-74.60%,"$17,439 ","$18,567 ",Industrials,Industrial Machinery,Everett,WA,47.9789848,-122.2020795
422,423,UGI,"12,800",-23,"$7,320 ",-4.30%,$256.20 ,-64.40%,"$13,347 ","$5,562 ",Energy,Energy,King of Prussia,PA,40.101285600000004,-75.38355250000001
423,424,Burlington Stores,"47,000",27,"$7,286 ",9.30%,$465.10 ,12.10%,"$5,594 ","$10,441 ",Retailing,Specialty Retailers: Apparel,Burlington,NJ,40.071222,-74.8648873
424,425,Builders FirstSource,"15,800",-31,"$7,280 ",-5.80%,$221.80 ,8.10%,"$3,250 ","$1,420 ",Materials,"Building Materials, Glass",Dallas,TX,32.7766642,-96.7969879
425,426,Toll Brothers,"5,100",2,"$7,224 ",1.10%,$590.00 ,-21.10%,"$10,828 ","$2,440 ",Engineering &  Construction,Homebuilders,Horsham,PA,40.1784422,-75.1285061
426,427,Old Republic International,"9,000",54,"$7,214 ",19.80%,"$1,056.40 ",185.10%,"$21,076 ","$4,635 ",Financials,Insurance: Property and Casualty (Stock),Chicago,IL,41.8781136,-87.62979820000001
427,428,Asbury Automotive Group,"8,500",11,"$7,210 ",4.90%,$184.40 ,9.80%,"$2,911 ","$1,065 ",Retailing,"Automotive Retailing, Services",Duluth,GA,34.0028786,-84.1446376
428,429,Arthur J. Gallagher,"33,247",6,"$7,195 ",3.80%,$668.80 ,5.60%,"$19,635 ","$15,455 ",Financials,Diversified Financials,Rolling Meadows,IL,42.0841936,-88.0131275
429,430,MasTec,"21,000",6,"$7,183 ",4.00%,$392.30 ,51.10%,"$4,997 ","$2,507 ",Engineering &  Construction,"Engineering, Construction",Coral Gables,FL,25.72149,-80.2683838
430,431,Owens Corning,"19,000",-,"$7,160 ",1.50%,$405.00 ,-25.70%,"$10,006 ","$4,201 ",Materials,"Building Materials, Glass",Toledo,OH,41.6528052,-83.53786740000001
431,432,Magellan Health,"10,100",-15,"$7,159 ",-2.10%,$55.90 ,131.20%,"$3,092 ","$1,188 ",Health Care,Health Care: Insurance and Managed Care,Scottsdale,AZ,33.494170399999994,-111.9260519
432,433,Dover,"24,000",-21,"$7,136 ",-3.50%,$677.90 ,18.90%,"$8,670 ","$12,094 ",Industrials,Industrial Machinery,Downers Grove,IL,41.8089191,-88.01117459999999
433,434,Beacon Roofing Supply,"8,147",30,"$7,105 ",10.70%,($10.60),-110.80%,"$6,393 ","$1,138 ",Wholesalers,Wholesalers: Diversified,Herndon,VA,38.9695545,-77.38609759999999
434,435,Avery Dennison,"30,000",-10,"$7,070 ",-1.20%,$303.60 ,-35.00%,"$5,489 ","$8,485 ",Materials,"Packaging, Containers",Glendale,CA,34.1425078,-118.255075
435,436,Hanesbrands,"63,000",8,"$6,967 ",2.40%,$600.70 ,11.30%,"$7,354 ","$2,817 ",Apparel,Apparel,Winston-Salem,NC,36.0998596,-80.24421600000001
436,437,Packaging Corp. of America,"15,500",-5,"$6,964 ",-0.70%,$696.40 ,-5.60%,"$7,236 ","$8,236 ",Materials,"Packaging, Containers",Lake Forest,IL,42.2586342,-87.840625
437,438,M&T Bank,"17,386",24,"$6,941 ",7.50%,"$1,929.10 ",0.60%,"$119,873 ","$13,441 ",,,,,,
438,439,NCR,"36,000",26,"$6,915 ",8.00%,$564.00 ,-,"$8,987 ","$2,287 ",Technology,"Computers, Office Equipment",Atlanta,GA,33.7489954,-84.3879824
439,440,Northern Trust,"19,800",13,"$6,895 ",3.50%,"$1,492.20 ",-4.10%,"$136,828 ","$15,791 ",Financials,Commercial Banks,Chicago,IL,41.8781136,-87.62979820000001
440,441,Cintas,"45,000",18,"$6,892 ",6.20%,$885.00 ,5.00%,"$7,437 ","$18,024 ",Business Services,Diversified Outsourcing Services,Cincinnati,OH,39.103118200000004,-84.5120196
441,442,Polaris,"14,000",34,"$6,863 ",11.30%,$324.00 ,-3.40%,"$4,431 ","$2,959 ",,,,,,
442,443,CMS Energy,"8,459",-3,"$6,845 ",-0.40%,$680.00 ,3.50%,"$26,837 ","$16,697 ",Energy,Utilities: Gas and Electric,Jackson,MI,42.245869,-84.4013462
443,444,Seaboard,"13,100",11,"$6,840 ",3.90%,$283.00 ,-,"$6,285 ","$3,274 ","Food, Beverages &  Tobacco",Food Production,Merriam,KS,39.023616499999996,-94.69357009999999
444,445,Intuit,"9,400",37,"$6,784 ",13.70%,"$1,557.00 ",28.60%,"$6,283 ","$59,913 ",Technology,Computer Software,Mountain View,CA,37.3860517,-122.08385109999999
445,446,Regions Financial,"19,564",1,"$6,755 ",-0.10%,"$1,582.00 ",-10.10%,"$126,240 ","$8,588 ",Financials,Commercial Banks,Birmingham,AL,33.5206608,-86.80249
446,447,FM Global,"5,591",-,"$6,743 ",24.20%,"$2,479.30 ",1436.10%,"$25,054 ",-,Financials,Insurance: Property and Casualty (Stock),Johnston,RI,41.820519899999994,-71.512617
447,448,Advanced Micro Devices,"11,400",12,"$6,731 ",4.00%,$341.00 ,1.20%,"$6,028 ","$53,250 ",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,37.354107899999995,-121.9552356
448,449,Ovintiv,"2,571",-,"$6,726 ",13.30%,$234.00 ,-78.10%,"$21,487 ",$702 ,,,,,,
449,450,Booz Allen Hamilton Holding,"26,100",25,"$6,704 ",8.60%,$418.50 ,37.20%,"$3,832 ","$9,624 ",,,,,,
450,451,S&P Global,"22,500",19,"$6,699 ",7.00%,"$2,123.00 ",8.40%,"$11,348 ","$59,042 ",,,,,,
451,452,Rockwell Automation,"23,000",-,"$6,695 ",0.40%,$695.80 ,29.90%,"$6,113 ","$17,533 ",Industrials,"Electronics, Electrical Equip.",Milwaukee,WI,43.0389025,-87.9064736
452,453,O-I Glass,"27,500",-15,"$6,691 ",-2.70%,($400.00),-255.60%,"$9,610 ","$1,109 ",,,,,,
453,454,Wynn Resorts,"30,200",-6,"$6,611 ",-1.60%,$123.00 ,-78.50%,"$13,871 ","$6,471 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,36.169941200000004,-115.13982959999998
454,455,Securian Financial Group,"6,400",-,"$6,601 ",20.10%,$434.80 ,34.90%,"$63,138 ",-,Financials,"Insurance: Life, Health (stock)",St Paul,MN,44.953702899999996,-93.0899578
455,456,Alliance Data Systems,"8,500",-66,"$6,581 ",-15.50%,$278.00 ,-71.10%,"$26,495 ","$1,603 ",Business Services,Financial Data Services,Plano,TX,33.0198431,-96.6988856
456,457,Weyerhaeuser,"9,400",-51,"$6,554 ",-12.30%,($76.00),-110.20%,"$16,406 ","$12,637 ",Materials,Forest and Paper Products,Seattle,WA,47.6062095,-122.33207079999998
457,457,Brighthouse Financial,"1,330",-115,"$6,554 ",-26.90%,($740.00),-185.50%,"$227,259 ","$2,540 ",,,,,,
458,459,Intercontinental Exchange,"5,989",10,"$6,547 ",4.30%,"$1,933.00 ",-2.80%,"$94,493 ","$44,343 ",Financials,Securities,Atlanta,GA,33.7489954,-84.3879824
459,460,American Axle & Manufacturing,"20,000",-42,"$6,531 ",-10.20%,($484.50),-,"$6,645 ",$408 ,Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,42.331427000000005,-83.0457538
460,461,Hess,"1,775",-,"$6,510 ",0.70%,($408.00),-,"$21,782 ","$10,164 ",Energy,"Mining, Crude-Oil Production",New York,NY,40.7127753,-74.0059728
461,462,ABM Industries,"140,000",1,"$6,499 ",0.90%,$127.40 ,30.30%,"$3,693 ","$1,623 ",Business Services,Diversified Outsourcing Services,New York,NY,40.7127753,-74.0059728
462,463,Activision Blizzard,"9,200",-58,"$6,489 ",-13.50%,"$1,503.00 ",-17.10%,"$19,845 ","$45,753 ",Technology,Entertainment,Santa Monica,CA,34.01945429999999,-118.4911912
463,464,GameStop,"30,000",-118,"$6,466 ",-26.90%,($470.90),-,"$2,820 ",$226 ,Retailing,Specialty Retailers: Other,Grapevine,TX,32.9342919,-97.07806540000001
464,465,Apache,"3,163",-54,"$6,411 ",-13.60%,"($3,553.00)",-8982.50%,"$18,107 ","$1,577 ",Energy,"Mining, Crude-Oil Production",Houston,TX,29.7604267,-95.36980279999999
465,466,Science Applications International,"24,311",-,"$6,379 ",36.90%,$226.00 ,65.00%,"$4,711 ","$4,317 ",Technology,Information Technology Services,Reston,VA,38.9586307,-77.35700279999999
466,467,AK Steel Holding,"9,300",-24,"$6,359 ",-6.70%,$11.20 ,-94.00%,"$4,591 ",-,Materials,Metals,Beckett Ridge,OH,39.332126200000005,-84.41726659999999
467,468,Dillard's,"30,400",-10,"$6,343 ",-2.50%,$111.10 ,-34.80%,"$3,430 ",$864 ,,,,,,
468,469,Ralph Lauren,"18,650",4,"$6,313 ",2.10%,$430.90 ,164.70%,"$5,943 ","$4,928 ",Apparel,Apparel,New York,NY,40.7127753,-74.0059728
469,470,Celanese,"7,714",-44,"$6,297 ",-12.00%,$852.00 ,-29.40%,"$9,476 ","$8,775 ",Chemicals,Chemicals,Irving,TX,32.814017699999994,-96.9488945
470,471,R.R. Donnelley & Sons,"36,400",-26,"$6,276 ",-7.70%,($93.20),-,"$3,330 ",$68 ,Media,"Publishing, Printing",Chicago,IL,41.8781136,-87.62979820000001
471,472,Zoetis,"10,600",15,"$6,260 ",7.50%,"$1,500.00 ",5.00%,"$11,545 ","$55,895 ",Health Care,Pharmaceuticals,Parsippany-Troy Hills,NJ,40.865286499999996,-74.41738769999999
472,473,Ascena Retail Group,"33,000",-16,"$6,243 ",-5.10%,($661.40),-,"$2,700 ",$14 ,Retailing,Specialty Retailers: Apparel,Mahwah,NJ,41.0886216,-74.1435843
473,474,Clorox,"8,800",3,"$6,214 ",1.50%,$820.00 ,-0.40%,"$5,116 ","$21,674 ",Household Products,Household and Personal Products,Oakland,CA,37.8043637,-122.27111370000002
474,475,Ingredion,"11,000",11,"$6,209 ",6.30%,$413.00 ,-6.80%,"$6,040 ","$5,050 ","Food, Beverages &  Tobacco",Food Production,Westchester,IL,41.8498339,-87.8806738
475,476,First American Financial,"18,412",15,"$6,202 ",7.90%,$707.40 ,49.10%,"$11,519 ","$4,791 ",Financials,Insurance: Property and Casualty (Stock),Santa Ana,CA,33.7454725,-117.867653
476,477,Graphic Packaging Holding,"18,000",3,"$6,160 ",2.30%,$206.80 ,-6.50%,"$7,290 ","$3,542 ",Materials,"Packaging, Containers",Atlanta,GA,33.7489954,-84.3879824
477,478,NetApp,"10,500",5,"$6,146 ",4.00%,"$1,169.00 ",1438.20%,"$8,741 ","$9,221 ",Technology,"Computers, Office Equipment",Sunnyvale,CA,37.368829999999996,-122.03634960000001
478,478,HD Supply Holdings,"11,500",1,"$6,146 ",1.60%,$452.00 ,14.70%,"$4,715 ","$4,605 ",Wholesalers,Wholesalers: Diversified,Atlanta,GA,33.7489954,-84.3879824
479,480,TravelCenters of America,"18,594",-47,"$6,117 ",-12.30%,$33.30 ,-,"$3,231 ",$81 ,Retailing,Specialty Retailers: Other,Westlake,OH,41.4553232,-81.9179173
480,481,Olin,"6,500",-47,"$6,110 ",-12.00%,($11.30),-103.40%,"$9,188 ","$1,842 ",Chemicals,Chemicals,Clayton,MO,38.6425518,-90.32372629999999
481,482,Robert Half International,"16,000",8,"$6,074 ",4.70%,$454.40 ,4.60%,"$2,311 ","$4,346 ",Business Services,Temporary Help,Menlo Park,CA,37.4529598,-122.1817252
482,483,EnLink Midstream,"1,355",-87,"$6,053 ",-21.40%,"($1,119.30)",-,"$9,336 ",$537 ,,,,,,
483,484,Avantor,"12,000",-,"$6,040 ",3.00%,$37.80 ,-,"$9,773 ","$7,156 ",,,,,,
484,485,Tapestry,"17,400",-1,"$6,027 ",2.50%,$643.40 ,61.90%,"$6,877 ","$3,575 ",Apparel,Apparel,New York City,NY,40.7127753,-74.0059728
485,486,TD Ameritrade Holding,"9,226",-,"$6,016 ",10.30%,"$2,208.00 ",49.90%,"$43,786 ","$18,739 ",Financials,Securities,Omaha,NE,41.2565369,-95.93450340000001
486,487,Analog Devices,"16,400",-15,"$5,991 ",-3.40%,"$1,363.00 ",-8.90%,"$21,393 ","$33,011 ",Technology,Semiconductors and Other Electronic Components,Norwood,MA,42.1943909,-71.19896949999999
487,488,Ameren,"9,323",-20,"$5,910 ",-6.10%,$828.00 ,1.60%,"$28,933 ","$17,970 ",Energy,Utilities: Gas and Electric,St. Louis,MO,38.6270025,-90.1994042
488,489,Williams-Sonoma,"19,300",6,"$5,898 ",4.00%,$356.10 ,6.70%,"$4,054 ","$3,282 ",Retailing,Specialty Retailers: Other,SF,CA,37.7749295,-122.4194155
489,490,Realogy Holdings,"10,150",-12,"$5,870 ",-3.40%,($188.00),-237.20%,"$7,543 ",$347 ,Financials,Real estate,Madison,NJ,40.7598227,-74.417097
490,491,Commercial Metals,"11,524",-,"$5,829 ",17.80%,$198.10 ,43.00%,"$3,759 ","$1,880 ",Materials,Metals,Irving,TX,32.814017699999994,-96.9488945
491,492,Rush Enterprises,"7,244",-,"$5,810 ",5.50%,$141.60 ,1.80%,"$3,407 ","$1,146 ",Retailing,"Automotive Retailing, Services",New Braunfels,TX,29.7030024,-98.1244531
492,493,Franklin Resources,"9,597",-26,"$5,775 ",-8.60%,"$1,195.70 ",56.40%,"$14,532 ","$8,293 ",Financials,Securities,San Mateo,CA,37.562991700000005,-122.32552539999999
493,494,Fortune Brands Home & Security,"24,700",-,"$5,765 ",5.10%,$431.90 ,10.90%,"$6,291 ","$6,042 ",Household Products,"Home Equipment, Furnishings",Deerfield,IL,42.171136499999996,-87.8445119
494,495,Levi Strauss,"15,800",5,"$5,763 ",3.40%,$394.60 ,39.40%,"$4,232 ","$4,961 ",Apparel,Apparel,SF,CA,37.7749295,-122.4194155
495,496,Crown Castle International,"5,100",-,"$5,763 ",7.30%,$860.00 ,38.30%,"$38,457 ","$60,179 ",Financials,Real estate,Houston,TX,29.7604267,-95.36980279999999
496,497,Simon Property Group,"3,750",-1,"$5,755 ",1.70%,"$2,101.60 ",-13.90%,"$31,232 ","$16,835 ",Financials,Real estate,Indianapolis,IN,39.768403,-86.158068
497,498,Cerner,"27,400",-,"$5,693 ",6.10%,$529.50 ,-16.00%,"$6,895 ","$19,164 ",Health Care,Health Care: Pharmacy and Other Services,North Kansas City,MO,39.1429081,-94.5729781
498,499,Post Holdings,"10,100",-28,"$5,681 ",-9.20%,$124.70 ,-73.30%,"$11,952 ","$5,732 ","Food, Beverages &  Tobacco",Food Consumer Products,St. Louis,MO,38.6270025,-90.1994042
499,500,Huntington Bancshares,"15,664",-,"$5,655 ",7.30%,"$1,411.00 ",1.30%,"$109,002 ","$8,399 ",Financials,Commercial Banks,Columbus,OH,39.9611755,-82.9987942
